Time,Susceptible,Infected,Immune,Dead
0, 396, 204, 0, 0
1, 310, 290, 0, 0
2, 242, 358, 0, 0
3, 190, 410, 0, 0
4, 158, 442, 0, 0
5, 138, 462, 0, 0
6, 127, 473, 0, 0
7, 114, 486, 0, 0
8, 101, 499, 0, 0
9, 92, 508, 0, 0
10, 86, 514, 0, 0
11, 80, 520, 0, 0
12, 72, 528, 0, 0
13, 64, 536, 0, 0
14, 52, 548, 0, 0
15, 49, 551, 0, 0
16, 39, 561, 0, 0
17, 33, 567, 0, 0
18, 30, 570, 0, 0
19, 28, 572, 0, 0
20, 27, 573, 0, 0
21, 25, 526, 49, 0
22, 24, 461, 115, 0
23, 24, 400, 176, 0
24, 23, 331, 246, 0
25, 23, 274, 303, 0
26, 23, 235, 342, 0
27, 23, 190, 387, 0
28, 22, 163, 415, 0
29, 22, 143, 435, 0
30, 22, 121, 457, 0
31, 22, 98, 480, 0
32, 22, 93, 485, 0
33, 22, 85, 493, 0
34, 22, 74, 504, 0
35, 22, 65, 513, 0
36, 22, 54, 524, 0
37, 22, 47, 531, 0
38, 22, 35, 543, 0
39, 22, 28, 550, 0
40, 22, 21, 557, 0
41, 22, 18, 560, 0
42, 22, 14, 564, 0
43, 22, 8, 570, 0
44, 22, 5, 573, 0
45, 22, 4, 574, 0
46, 22, 3, 575, 0
47, 22, 2, 576, 0
48, 22, 2, 576, 0
49, 22, 1, 577, 0
50, 22, 1, 577, 0
51, 22, 1, 577, 0
52, 22, 1, 577, 0
53, 22, 1, 577, 0
54, 22, 1, 577, 0
55, 22, 1, 577, 0
56, 22, 1, 577, 0
57, 22, 1, 577, 0
58, 22, 0, 578, 0
59, 22, 0, 578, 0
60, 22, 0, 578, 0
61, 22, 0, 578, 0
62, 22, 0, 578, 0
63, 22, 0, 578, 0
64, 22, 0, 578, 0
65, 22, 0, 578, 0
66, 22, 0, 578, 0
67, 22, 0, 578, 0
68, 22, 0, 578, 0
69, 22, 0, 578, 0
70, 22, 0, 578, 0
71, 22, 0, 578, 0
72, 22, 0, 578, 0
73, 22, 0, 578, 0
74, 22, 0, 578, 0
75, 22, 0, 578, 0
76, 22, 0, 578, 0
77, 22, 0, 578, 0
78, 22, 0, 578, 0
79, 22, 0, 578, 0
80, 22, 0, 578, 0
81, 22, 0, 578, 0
82, 22, 0, 578, 0
83, 22, 0, 578, 0
84, 22, 0, 578, 0
85, 22, 0, 578, 0
86, 22, 0, 578, 0
87, 22, 0, 578, 0
88, 22, 0, 578, 0
89, 22, 0, 578, 0
90, 22, 0, 578, 0
91, 22, 0, 578, 0
92, 22, 0, 578, 0
93, 22, 0, 578, 0
94, 22, 0, 578, 0
95, 22, 0, 578, 0
96, 22, 0, 578, 0
97, 22, 0, 578, 0
98, 22, 0, 578, 0
99, 22, 0, 578, 0
100, 22, 0, 578, 0
101, 22, 0, 578, 0
102, 22, 0, 578, 0
103, 22, 0, 578, 0
104, 22, 0, 578, 0
105, 22, 0, 578, 0
106, 22, 0, 578, 0
107, 22, 0, 578, 0
108, 22, 0, 578, 0
109, 22, 0, 578, 0
110, 22, 0, 578, 0
111, 22, 0, 578, 0
112, 22, 0, 578, 0
113, 22, 0, 578, 0
114, 22, 0, 578, 0
115, 22, 0, 578, 0
116, 22, 0, 578, 0
117, 22, 0, 578, 0
118, 22, 0, 578, 0
119, 22, 0, 578, 0
120, 22, 0, 578, 0
121, 22, 0, 578, 0
122, 22, 0, 578, 0
123, 22, 0, 578, 0
124, 22, 0, 578, 0
125, 22, 0, 578, 0
126, 22, 0, 578, 0
127, 22, 0, 578, 0
128, 22, 0, 578, 0
129, 22, 0, 578, 0
130, 22, 0, 578, 0
131, 22, 0, 578, 0
132, 22, 0, 578, 0
133, 22, 0, 578, 0
134, 22, 0, 578, 0
135, 22, 0, 578, 0
136, 22, 0, 578, 0
137, 22, 0, 578, 0
138, 22, 0, 578, 0
139, 22, 0, 578, 0
140, 22, 0, 578, 0
141, 22, 0, 578, 0
142, 22, 0, 578, 0
143, 22, 0, 578, 0
144, 22, 0, 578, 0
145, 22, 0, 578, 0
146, 22, 0, 578, 0
147, 22, 0, 578, 0
148, 22, 0, 578, 0
149, 22, 0, 578, 0
150, 22, 0, 578, 0
151, 22, 0, 578, 0
152, 22, 0, 578, 0
153, 22, 0, 578, 0
154, 22, 0, 578, 0
155, 22, 0, 578, 0
156, 22, 0, 578, 0
157, 22, 0, 578, 0
158, 22, 0, 578, 0
159, 22, 0, 578, 0
160, 22, 0, 578, 0
161, 22, 0, 578, 0
162, 22, 0, 578, 0
163, 22, 0, 578, 0
164, 22, 0, 578, 0
165, 22, 0, 578, 0
166, 22, 0, 578, 0
167, 22, 0, 578, 0
168, 22, 0, 578, 0
169, 22, 0, 578, 0
170, 22, 0, 578, 0
171, 22, 0, 578, 0
172, 22, 0, 578, 0
173, 22, 0, 578, 0
174, 22, 0, 578, 0
175, 22, 0, 578, 0
176, 22, 0, 578, 0
177, 22, 0, 578, 0
178, 22, 0, 578, 0
179, 22, 0, 578, 0
180, 22, 0, 578, 0
181, 22, 0, 578, 0
182, 22, 0, 578, 0
183, 22, 0, 578, 0
184, 22, 0, 578, 0
185, 22, 0, 578, 0
186, 22, 0, 578, 0
187, 22, 0, 578, 0
188, 22, 0, 578, 0
189, 22, 0, 578, 0
190, 22, 0, 578, 0
191, 22, 0, 578, 0
192, 22, 0, 578, 0
193, 22, 0, 578, 0
194, 22, 0, 578, 0
195, 22, 0, 578, 0
196, 22, 0, 578, 0
197, 22, 0, 578, 0
198, 22, 0, 578, 0
199, 22, 0, 578, 0
